trade_id,account_id,symbol,side,volume,price,timestamp
T1001,ACC-105,AUDUSD,SELL,2.31,1.24202,2026-09-18T10:14:00
T1002,ACC-114,USDCHF,SELL,3.19,1.21719,2026-09-18T08:36:00
T1003,ACC-119,USDJPY,BUY,0.54,1.22386,2026-09-18T07:42:00
T1004,ACC-119,AUDUSD,SELL,3.3,1.14623,2026-09-18T09:41:00
T1005,ACC-119,EURUSD,BUY,0.39,0.97608,2026-09-18T11:07:00
T1006,ACC-116,EURUSD,SELL,1.7,1.13638,2026-09-18T10:20:00
T1007,ACC-120,GBPUSD,SELL,2.55,1.16498,2026-09-18T14:48:00
T1008,ACC-108,USDJPY,SELL,4.99,1.29828,2026-09-18T08:25:00
T1009,ACC-103,USDJPY,BUY,2.61,0.9119,2026-09-18T16:36:00
T1010,ACC-100,AUDUSD,BUY,4.25,1.05461,2026-09-18T07:17:00
T1011,ACC-112,GBPUSD,BUY,4.64,0.92093,2026-09-18T13:24:00
T1012,ACC-110,AUDUSD,BUY,2.87,0.9794,2026-09-18T11:36:00
T1013,ACC-104,EURUSD,SELL,1.73,1.28563,2026-09-18T09:00:00
T1014,ACC-105,GBPUSD,BUY,0.15,1.08598,2026-09-18T15:18:00
T1015,ACC-113,USDCHF,BUY,2.29,0.97627,2026-09-18T09:14:00
T1016,ACC-108,AUDUSD,BUY,2.03,1.29602,2026-09-18T07:00:00
T1017,ACC-112,USDCHF,SELL,4.99,0.90785,2026-09-18T10:11:00
T1018,ACC-108,USDCHF,BUY,0.31,0.95854,2026-09-18T14:32:00
T1019,ACC-102,EURUSD,SELL,4.17,1.05447,2026-09-18T08:16:00
T1020,ACC-104,GBPUSD,BUY,0.18,1.04747,2026-09-18T14:44:00
T1021,ACC-105,USDCHF,SELL,4.18,0.9543,2026-09-18T13:35:00
T1022,ACC-106,GBPUSD,SELL,4.55,1.22712,2026-09-18T11:15:00
T1023,ACC-119,GBPUSD,BUY,3.47,1.05528,2026-09-18T15:14:00
T1024,ACC-108,EURUSD,SELL,0.33,0.94362,2026-09-18T15:44:00
T1025,ACC-109,GBPUSD,SELL,1.36,1.22949,2026-09-18T15:22:00
T1026,ACC-107,USDCHF,BUY,4.65,1.29087,2026-09-18T09:09:00
T1027,ACC-100,AUDUSD,BUY,1.47,1.26694,2026-09-18T10:28:00
T1028,ACC-105,EURUSD,SELL,2.12,0.99963,2026-09-18T07:47:00
T1029,ACC-111,USDJPY,SELL,2.7,1.28923,2026-09-18T08:34:00
T1030,ACC-118,GBPUSD,SELL,4.9,1.16277,2026-09-18T15:54:00
T1031,ACC-109,GBPUSD,BUY,4.63,1.08992,2026-09-18T13:06:00
T1032,ACC-109,EURUSD,BUY,3.03,0.92993,2026-09-18T08:08:00
T1033,ACC-111,USDJPY,BUY,5.0,0.93011,2026-09-18T16:19:00
T1034,ACC-102,EURUSD,BUY,3.99,1.266,2026-09-18T13:00:00
T1035,ACC-115,AUDUSD,BUY,4.37,1.06686,2026-09-18T07:30:00
T1036,ACC-100,USDCHF,BUY,3.16,1.05293,2026-09-18T16:56:00
T1037,ACC-113,USDCHF,BUY,0.49,1.15576,2026-09-18T11:23:00
T1038,ACC-114,USDJPY,SELL,4.68,1.17766,2026-09-18T14:48:00
T1039,ACC-119,AUDUSD,BUY,2.64,1.10581,2026-09-18T12:17:00
T1040,ACC-115,EURUSD,SELL,0.21,1.28296,2026-09-18T08:55:00
T1041,ACC-104,USDCHF,SELL,1.35,0.90452,2026-09-18T12:08:00
T1042,ACC-114,USDCHF,BUY,2.64,1.20151,2026-09-18T12:50:00
T1043,ACC-120,AUDUSD,BUY,1.7,1.16636,2026-09-18T10:23:00
T1044,ACC-110,AUDUSD,BUY,4.41,1.05377,2026-09-18T16:57:00
T1045,ACC-102,GBPUSD,BUY,0.76,1.0403,2026-09-18T07:41:00
T1046,ACC-113,USDJPY,BUY,0.65,1.08854,2026-09-18T10:39:00
T1047,ACC-110,AUDUSD,SELL,3.39,1.18651,2026-09-18T14:43:00
T1048,ACC-118,EURUSD,BUY,1.46,1.14302,2026-09-18T11:47:00
T1049,ACC-112,USDJPY,SELL,3.28,1.12562,2026-09-18T09:19:00
T1050,ACC-104,AUDUSD,BUY,0.22,1.23187,2026-09-18T11:03:00
T1051,ACC-102,EURUSD,BUY,2.29,1.15199,2026-09-18T13:17:00
T1052,ACC-115,GBPUSD,BUY,4.14,1.00242,2026-09-18T07:11:00
T1053,ACC-117,USDCHF,BUY,0.98,1.00894,2026-09-18T12:54:00
T1054,ACC-102,USDCHF,BUY,2.03,1.21677,2026-09-18T10:49:00
T1055,ACC-112,AUDUSD,SELL,0.74,1.08141,2026-09-18T07:06:00
T1056,ACC-103,USDCHF,SELL,2.37,1.16053,2026-09-18T10:29:00
T1057,ACC-109,EURUSD,BUY,1.29,1.05609,2026-09-18T08:29:00
T1058,ACC-111,USDCHF,SELL,1.38,1.18731,2026-09-18T07:16:00
T1059,ACC-108,USDCHF,BUY,0.28,1.03682,2026-09-18T14:11:00
T1060,ACC-101,AUDUSD,BUY,1.17,1.24702,2026-09-18T14:19:00
